attr_id,adj,label
ability.n.01,accurate,No
ability.n.01,analytical,No
ability.n.01,aspirational,No
ability.n.01,bodily,No
ability.n.01,careless,No
ability.n.01,chilled,No
ability.n.01,conceivable,No
ability.n.01,damaged,No
ability.n.01,dazzling,No
ability.n.01,deliberate,No
ability.n.01,fashionable,No
ability.n.01,fresh,No
ability.n.01,headstrong,No
ability.n.01,honourable,No
ability.n.01,hunger,No
ability.n.01,illuminated,No
ability.n.01,inconclusive,No
ability.n.01,joyful,No
ability.n.01,lawful,No
ability.n.01,multifaceted,No
ability.n.01,noble,No
ability.n.01,obese,No
ability.n.01,potent,No
ability.n.01,preliminary,No
ability.n.01,red,No
ability.n.01,reliable,No
ability.n.01,same,No
ability.n.01,sensitized,No
ability.n.01,serious,No
ability.n.01,spoiled,No
ability.n.01,succinct,No
ability.n.01,suspicious,No
ability.n.01,technical,No
ability.n.01,tight,No
ability.n.01,truthful,No
ability.n.01,unceasing,No
ability.n.01,unjust,No
ability.n.01,unrecognised,No
ability.n.01,user-friendly,No
ability.n.01,watchful,No
ability.n.02,accurate,No
ability.n.02,aspirational,No
ability.n.02,atypical,No
ability.n.02,authorized,No
ability.n.02,bereft,Yes
ability.n.02,bright,No
ability.n.02,careless,No
ability.n.02,clear,No
ability.n.02,conceivable,No
ability.n.02,conspicuous,No
ability.n.02,correct,No
ability.n.02,crushed,No
ability.n.02,damaged,No
ability.n.02,dazzling,Yes
ability.n.02,despicable,No
ability.n.02,discernible,No
ability.n.02,east,No
ability.n.02,enshrined,No
ability.n.02,even-handed,No
ability.n.02,exact,No
ability.n.02,fashionable,No
ability.n.02,favourable,No
ability.n.02,fresh,No
ability.n.02,friendly,No
ability.n.02,headstrong,No
ability.n.02,heavier,No
ability.n.02,honourable,No
ability.n.02,horrible,No
ability.n.02,inconclusive,No
ability.n.02,inhumane,No
ability.n.02,inside,No
ability.n.02,invisible,No
ability.n.02,itty-bitty,No
ability.n.02,joyful,No
ability.n.02,lawful,No
ability.n.02,meritorious,Yes
ability.n.02,modesty,No
ability.n.02,monochrome,No
ability.n.02,monotonous,No
ability.n.02,multifaceted,No
ability.n.02,noble,No
ability.n.02,obese,No
ability.n.02,on-going,No
ability.n.02,plentiful,No
ability.n.02,potent,No
ability.n.02,profit-making,No
ability.n.02,proscribed,No
ability.n.02,public,No
ability.n.02,red,No
ability.n.02,responsible,No
ability.n.02,same,No
ability.n.02,seperate,No
ability.n.02,serious,No
ability.n.02,sinister,No
ability.n.02,solitary,No
ability.n.02,spoiled,No
ability.n.02,static,No
ability.n.02,stimulating,No
ability.n.02,strange,No
ability.n.02,succinct,No
ability.n.02,tight,No
ability.n.02,truthful,No
ability.n.02,unceasing,No
ability.n.02,unjust,No
ability.n.02,unlinked,No
ability.n.02,unproductive,No
ability.n.02,unrecognised,Yes
ability.n.02,unserviceable,No
ability.n.02,user-friendly,No
ability.n.02,watchful,No
absorbency.n.01,all-encompassing,No
absorbency.n.01,bodily,No
absorbency.n.01,bright,No
absorbency.n.01,careless,No
absorbency.n.01,conspicuous,No
absorbency.n.01,courteous,No
absorbency.n.01,crushed,No
absorbency.n.01,deliberate,No
absorbency.n.01,enshrined,No
absorbency.n.01,even-handed,No
absorbency.n.01,extension,No
absorbency.n.01,favourable,No
absorbency.n.01,fresh,No
absorbency.n.01,heavier,No
absorbency.n.01,inclined,No
absorbency.n.01,inconceivable,No
absorbency.n.01,inconclusive,No
absorbency.n.01,inhumane,No
absorbency.n.01,innovatory,No
absorbency.n.01,invisible,No
absorbency.n.01,obese,No
absorbency.n.01,potent,No
absorbency.n.01,preliminary,No
absorbency.n.01,profit-making,No
absorbency.n.01,rich,No
absorbency.n.01,same,No
absorbency.n.01,serious,No
absorbency.n.01,spoiled,No
absorbency.n.01,stupid,No
absorbency.n.01,suspicious,No
absorbency.n.01,technical,No
absorbency.n.01,tight,No
absorbency.n.01,unjust,No
absorbency.n.01,unlinked,No
absorbency.n.01,unorthodox,No
absorbency.n.01,unpolluted,No
absorbency.n.01,unproductive,No
absorbency.n.01,unrecognised,No
absorbency.n.01,unserviceable,No
absorbency.n.01,user-friendly,No
abstemiousness.n.02,all-encompassing,No
abstemiousness.n.02,analytical,No
abstemiousness.n.02,authorized,No
abstemiousness.n.02,bereft,No
abstemiousness.n.02,bodily,No
abstemiousness.n.02,bright,No
abstemiousness.n.02,clear,No
abstemiousness.n.02,conceivable,No
abstemiousness.n.02,deliberate,Yes
abstemiousness.n.02,different,No
abstemiousness.n.02,discernible,No
abstemiousness.n.02,enshrined,No
abstemiousness.n.02,exact,No
abstemiousness.n.02,exceptional,No
abstemiousness.n.02,extension,No
abstemiousness.n.02,headstrong,No
abstemiousness.n.02,heavier,No
abstemiousness.n.02,horrible,No
abstemiousness.n.02,illuminated,No
abstemiousness.n.02,inclined,No
abstemiousness.n.02,inhumane,No
abstemiousness.n.02,innovatory,No
abstemiousness.n.02,inside,No
abstemiousness.n.02,joyful,No
abstemiousness.n.02,lawful,No
abstemiousness.n.02,meritorious,No
abstemiousness.n.02,modesty,No
abstemiousness.n.02,monochrome,No
abstemiousness.n.02,plentiful,No
abstemiousness.n.02,potent,No
abstemiousness.n.02,preliminary,No
abstemiousness.n.02,profit-making,No
abstemiousness.n.02,protective,No
abstemiousness.n.02,public,No
abstemiousness.n.02,red,No
abstemiousness.n.02,reliable,No
abstemiousness.n.02,rich,No
abstemiousness.n.02,same,No
abstemiousness.n.02,seperate,No
abstemiousness.n.02,stupid,No
abstemiousness.n.02,succinct,No
abstemiousness.n.02,tight,No
abstemiousness.n.02,tiresome,No
abstemiousness.n.02,truthful,No
abstemiousness.n.02,unjust,No
abstemiousness.n.02,unorthodox,No
abstemiousness.n.02,unpolluted,No
abstemiousness.n.02,unproductive,No
abstemiousness.n.02,watchful,No
abstemiousness.n.02,young,No
abstractness.n.01,all-encompassing,Yes
abstractness.n.01,analytical,No
abstractness.n.01,authorized,No
abstractness.n.01,bright,No
abstractness.n.01,conspicuous,No
abstractness.n.01,crowded,No
abstractness.n.01,crushed,No
abstractness.n.01,different,No
abstractness.n.01,enshrined,No
abstractness.n.01,exact,Yes
abstractness.n.01,exceptional,No
abstractness.n.01,inclined,No
abstractness.n.01,innovatory,No
abstractness.n.01,inside,No
abstractness.n.01,meritorious,No
abstractness.n.01,monochrome,No
abstractness.n.01,obese,No
abstractness.n.01,preliminary,No
abstractness.n.01,public,No
abstractness.n.01,sensitized,No
abstractness.n.01,seperate,No
abstractness.n.01,static,No
abstractness.n.01,stimulating,No
abstractness.n.01,strange,No
abstractness.n.01,stupid,No
abstractness.n.01,succinct,No
abstractness.n.01,unpolluted,No
abstractness.n.01,unrecognised,Yes
abstractness.n.01,unserviceable,No
abstractness.n.01,valiant,No
accuracy.n.01,analytical,No
accuracy.n.01,atypical,No
accuracy.n.01,bereft,No
accuracy.n.01,bodily,No
accuracy.n.01,careless,No
accuracy.n.01,conspicuous,No
accuracy.n.01,correct,Yes
accuracy.n.01,crushed,No
accuracy.n.01,dazzling,No
accuracy.n.01,deliberate,No
accuracy.n.01,despicable,No
accuracy.n.01,different,No
accuracy.n.01,friendly,No
accuracy.n.01,illuminated,No
accuracy.n.01,inconceivable,No
accuracy.n.01,modesty,No
accuracy.n.01,obese,No
accuracy.n.01,on-going,No
accuracy.n.01,potent,No
accuracy.n.01,preliminary,No
accuracy.n.01,proscribed,No
accuracy.n.01,public,No
accuracy.n.01,sensitized,No
accuracy.n.01,serious,No
accuracy.n.01,strange,No
accuracy.n.01,succinct,No
accuracy.n.01,suspicious,No
accuracy.n.01,technical,No
accuracy.n.01,unproductive,No
accuracy.n.01,valiant,No
acquisitiveness.n.01,analytical,No
acquisitiveness.n.01,atypical,No
acquisitiveness.n.01,bereft,No
acquisitiveness.n.01,bodily,No
acquisitiveness.n.01,bright,No
acquisitiveness.n.01,careless,No
acquisitiveness.n.01,chilled,No
acquisitiveness.n.01,conceivable,No
acquisitiveness.n.01,correct,No
