worker_id,quality
A10LLZZHZVGWRW,0.6
A12O9P1OTMJOPW,1.0
A15XX0WDRG29E7,0.786
A19TL7AJ0FB1JG,0.4
A1AF5TUSLXSQD1,1.0
A1AR5OZLXIF9,0.7
A1AZV2XOQK7RSW,0.6
A1B14CS9DW7008,0.4
A1BW8BW8LB6ZPC,0.6
A1DSBBRZR3LWXP,0.8
A1E235KE3CSO7H,0.6
A1EBVJWBNNPUFU,0.68
A1EWWETFXX1U51,0.6
A1FGKIKJYSL1MI,0.922
A1FLEFIVFT809G,0.4
A1IL81UMEC9OJI,0.75
A1IXH2QLUU5BKZ,1.0
A1KBL9THQ1AGAR,0.733
A1NGXQMOBCXDC3,1.0
A1PC5HFTBIR2QA,0.2
A1PF01FF85HUY4,0.4
A1QR6I7UPY8XQJ,0.4
A1QSN98P7DOIPR,0.8
A1RUURPQJ14A8X,0.867
A1SKAGZXTWZW9D,1.0
A1TPCNI0K1EVYD,0.811
A1X1IRFYQZ40LD,1.0
A1ZGQC0J00M69W,0.815
A20I3A6VWC2T5C,0.608
A249LDVPG27XCE,0.6
A249M2F9FFNIK2,0.2
A24IF41IP6LT55,1.0
A277V4SHQB8JRS,1.0
A27FBMV6E4YO3T,1.0
A2BOXK0KVXGKPU,0.4
A2CLSASUR08Z0O,0.85
A2CMYWI1J292YJ,0.9
A2DC6TG86OSCRK,0.4
A2DK5ME7UK8GYG,0.3
A2GNG7DWHQA6ZZ,0.8
A2HR7ZIX42FEPG,0.589
A2HTN7HCNBQ8V4,0.8
A2I6ZS386UJVJE,0.8
A2KYOM2ZGYDJGT,0.72
A2LFVJ28A2J2PK,1.0
A2M5VW97GIYLHB,0.591
A2NGY0LAM66P0N,1.0
A2O762LZEZN3JC,0.667
A2OW2CIT4H7364,0.807
A2P791EA88YGSV,0.6
A2PJBSDDN22XIX,0.333
A2RCYLKY072XXO,0.7
A2S09R2TB55WBN,0.829
A2TZAXWOB3JMNV,0.8
A2U31V169A20GY,0.9
A2UF2FRGVW4T89,0.857
A2WTNZHRALOHX8,0.4
A2YKW761AK4ZGY,0.833
A2ZHBGPYUOFTZG,0.2
A2ZRF4I5RTKN7G,0.4
A314XJY8V1YL12,0.7
A31A4YKVSOYRVS,0.7
A31CNXHGR49DJR,0.96
A31FD3QCYZ28Q2,0.9
A31YZ8JR422KFR,0.8
A33B85TN97HQ33,0.87
A34488HCARTJ82,1.0
A34QZDSTKZ3JO9,0.6
A34RGSBBFQ6HI1,0.6
A3542PB4Z0NE80,0.745
A37CE37LHUN8M6,0.884
A390TAQDSFEBN9,1.0
A3B2YRXL26RPVH,1.0
A3CR9XJAL7U5JW,0.2
A3D46S3V9SYXTT,0.8
A3GCA0EZKHTJME,0.8
A3GNQDFPZALU92,0.8
A3GQ3N00IBM717,0.8
A3GS6QRW0NDZV9,0.586
A3GUJ6JD25FX7O,0.867
A3H0TLQC53H5MB,0.8
A3HHDPKL3O3O7Y,0.8
A3HII8DX9SINOU,0.9
A3I9XLIHPPWPN1,0.6
A3IR7DFEKLLLO,0.2
A3J2UG22S8BIW4,1.0
A3JT22BLG866CK,0.6
A3KA3A3M7LPMPA,0.745
A3KM6AF7CGASHJ,0.509
A3LKIY5BCZ2RS8,0.8
A3LN9BVLOWLYER,0.846
A3MA1SVP12F3DO,0.52
A3O4WYGKH31OX,0.4
A3P57IUDHUKNCE,0.329
A3RS7UCO7CQ74R,0.514
A3S8TUZ94SKSDC,1.0
A3T6Q7YJQXYZ2Z,1.0
A3VVR8NR3ED04C,0.257
A4W9APAHFWVLO,0.8
A7NZ814Q5MX2R,0.6
A8E99XNOTT390,1.0
A8HSPSD88CUTS,0.6
AA21VG9GOHM54,0.6
AD8FN7L0ZV67G,0.0
AEHONA1BIY9JB,0.6
AF4SO6NQC84U4,0.6
AHGM882UX7S4T,0.68
AI4AO0O0WIJF7,0.9
AIQT0DPRTXYYD,0.8
AJQGWGESKQT4Y,0.12
AMCJQTBCGX9R5,1.0
AMX5R6NLYNA2K,0.8
ANMD34DNHLOLC,0.7
AOBTFLJU2BEPR,0.661
AP37QQ9AABSY9,0.8
AP4903X7HCNBA,0.784
APGX2WZ59OWDN,1.0
AQACH1UKXRRIX,0.4
ARYYSG1HT2UDX,0.827
AUGRDUEDEUXUS,0.8
AVHZJ2HQJG3NB,1.0
AXY0D2AMLKE2A,0.4
AY6HFCSWZJ9WD,0.7
AY9ZVK32I1P1L,0.4
AYJGJAIY0EXW,1.0
AYJGQBBK6KXZ7,0.829
AZBZBTTME3HAI,0.6
